,Date,Cash,Cyclical commodities equities,Growth equities,IG fixed income - long,Managed futures,REITs,Value equities
0,2022-05-11,0.0,0.0,0.0,0.0,0.0,0.0,66777.1224975586
1,2022-05-12,0.0,0.0,0.0,0.0,0.0,0.0,65803.0592910627
2,2022-05-13,0.0,0.0,0.0,0.0,0.0,0.0,67113.55387298726
3,2022-05-14,0.0,0.0,0.0,0.0,0.0,0.0,67113.55387298726
4,2022-05-15,0.0,0.0,0.0,0.0,0.0,0.0,67113.55387298726
5,2022-05-16,0.0,0.0,0.0,0.0,0.0,0.0,67400.77749692774
6,2022-05-17,0.0,0.0,0.0,0.0,0.0,0.0,68405.02231856226
7,2022-05-18,0.0,0.0,0.0,0.0,0.0,0.0,67409.8417152054
8,2022-05-19,0.0,0.0,0.0,0.0,0.0,0.0,68338.15738745443
9,2022-05-20,0.0,0.0,0.0,0.0,0.0,0.0,68034.48121648216
10,2022-05-21,0.0,0.0,0.0,0.0,0.0,0.0,68034.48121648216
11,2022-05-22,0.0,0.0,0.0,0.0,0.0,0.0,68034.48121648216
12,2022-05-23,0.0,0.0,0.0,0.0,0.0,0.0,69376.04849685432
13,2022-05-24,0.0,0.0,0.0,0.0,0.0,0.0,67923.29445993801
14,2022-05-25,0.0,0.0,0.0,0.0,0.0,0.0,68212.60911975514
15,2022-05-26,0.0,0.0,0.0,0.0,0.0,0.0,68666.90248345185
16,2022-05-27,0.0,0.0,0.0,0.0,0.0,0.0,68955.316629025
17,2022-05-28,0.0,0.0,0.0,0.0,0.0,0.0,68955.316629025
18,2022-05-29,0.0,0.0,0.0,0.0,0.0,0.0,68955.316629025
19,2022-05-30,0.0,0.0,0.0,0.0,0.0,0.0,68839.56663527011
20,2022-05-31,767.4587850353638,0.0,0.0,0.0,0.0,0.0,91794.52195751946
21,2022-06-01,768.139834096967,0.0,0.0,0.0,0.0,0.0,91327.89962400238
22,2022-06-02,767.7575965660237,0.0,0.0,0.0,0.0,0.0,91644.58300544538
23,2022-06-03,769.5039895685994,0.0,0.0,0.0,0.0,0.0,91337.8978093624
24,2022-06-04,769.5039895685994,0.0,0.0,0.0,0.0,0.0,91337.8978093624
25,2022-06-05,769.5039895685994,0.0,0.0,0.0,0.0,0.0,91337.8978093624
26,2022-06-06,773.3627359968949,0.0,0.0,0.0,0.0,0.0,91770.17028800037
27,2022-06-07,773.0610727781656,0.0,0.0,0.0,0.0,0.0,91470.79061806107
28,2022-06-08,770.3515752790739,0.0,0.0,0.0,0.0,0.0,91164.8948029042
29,2022-06-09,774.0398765277965,0.0,0.0,0.0,0.0,0.0,112036.62335921422
30,2022-06-10,774.0423270991708,0.0,0.0,0.0,0.0,0.0,109409.17573968023
31,2022-06-11,774.0423270991708,0.0,0.0,0.0,0.0,0.0,109409.17573968023
32,2022-06-12,774.0423270991708,0.0,0.0,0.0,0.0,0.0,109409.17573968023
33,2022-06-13,774.2063408563472,0.0,0.0,0.0,0.0,0.0,137660.5227857217
34,2022-06-14,771.6411335434299,0.0,0.0,0.0,0.0,0.0,137781.10935999392
35,2022-06-15,771.4901792422908,0.0,0.0,0.0,0.0,0.0,138571.49823129943
36,2022-06-16,765.8981959969224,0.0,0.0,0.0,0.0,0.0,160280.27954224648
37,2022-06-17,769.1024192765504,0.0,0.0,0.0,0.0,0.0,159416.77881716646
38,2022-06-18,769.1024192765504,0.0,0.0,0.0,0.0,0.0,159416.77881716646
39,2022-06-19,769.1024192765504,0.0,0.0,0.0,0.0,0.0,159416.77881716646
40,2022-06-20,771.2401835155185,0.0,0.0,0.0,0.0,0.0,160520.5419443289
41,2022-06-21,772.7746670780613,0.0,0.0,0.0,0.0,0.0,163123.96475356945
42,2022-06-22,771.0401088172691,0.0,0.0,0.0,0.0,0.0,160225.24223615165
43,2022-06-23,775.0730781148275,0.0,0.0,0.0,0.0,0.0,159861.8266972694
44,2022-06-24,774.2050808439604,0.0,0.0,0.0,0.0,0.0,161415.05971959955
45,2022-06-25,774.2050808439604,0.0,0.0,0.0,0.0,0.0,161415.05971959955
46,2022-06-26,774.2050808439604,0.0,0.0,0.0,0.0,0.0,161415.05971959955
47,2022-06-27,773.5027199510953,0.0,0.0,0.0,0.0,31499.728913015133,222422.82607961624
48,2022-06-28,774.4119306902705,0.0,0.0,0.0,0.0,31224.686615737028,220910.84309076017
49,2022-06-29,772.5224032237935,0.0,0.0,0.0,0.0,91778.13677844642,356661.32835321216
50,2022-06-30,1545.3739664169177,103391.13085067765,0.0,0.0,0.0,120917.0470329882,437156.3009365933
51,2022-07-01,1544.1373774552937,104397.08737296314,0.0,0.0,0.0,121734.8612990645,439665.25089038536
52,2022-07-02,1544.1373774552937,104397.08737296314,0.0,0.0,0.0,121734.8612990645,439665.25089038536
53,2022-07-03,1544.1373774552937,104397.08737296314,0.0,0.0,0.0,121734.8612990645,439665.25089038536
