Date,Cumul,total_position_USDSGD=X,total_position_SGD,total_position_EURSGD=X,total_position_TSLA,total_position_META,total_position_PDD,total_position_ABNB,total_position_ETH-USD,total_position_SOL-USD,total_position_HOOD,total_position_GBPSGD=X,total_position_KAPE.L,total_position_PBEE.L,total_position_NVDA,total_position_TOST,total_position_SGRO.L,total_position_COIN,total_position_SNOW,total_position_SPCE,total_position_MKTX,total_position_SCHW,total_position_TSM,total_position_GROW.L,total_position_AT1.L,total_position_BIRD,total_position_VET,total_position_ARCH,total_position_DLO,total_position_SHOP,total_position_AWE.L,total_position_SLGC,Total Portfolio Value (SGD),Gains_Losses
2022-12-23,40542.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40542.00053215027,0.0005321502685546875
2022-12-24,40542.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40542.00053215027,0.0005321502685546875
2022-12-25,40542.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40542.00053215027,0.0005321502685546875
2022-12-26,40542.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40550.99844932556,8.998449325561523
2022-12-27,40542.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40403.9990901947,-138.00090980529785
2022-12-28,40542.0,0.05282109570314625,0.0,0.0,0.37309195582796745,0.5740869484688864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40710.60512075767,168.60512075766746
2022-12-29,40542.0,0.05015320520128363,0.0,0.0,0.38288056365597956,0.5669662311427368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42928.3764547469,2386.3764547469036
2022-12-30,40542.0,0.04992099180311511,0.0,0.0,0.3853624897721014,0.5647165184247835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42945.22792956003,2403.227929560031
2022-12-31,40542.0,0.04992099180311511,0.0,0.0,0.3853624897721014,0.5647165184247835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42945.22792956003,2403.227929560031
2023-01-01,40542.0,0.04992099180311511,0.0,0.0,0.3853624897721014,0.5647165184247835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42945.22792956003,2403.227929560031
2023-01-02,40542.0,0.0499209918031151,0.0,0.0,0.3853624897721014,0.5647165184247835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42747.0443286435,2205.0443286434966
2023-01-03,101085.0,0.27866513650428815,0.0,0.0,0.14194154644930237,0.24568624122281812,0.16648916166677946,0.1672179141568119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102143.25610867134,1058.2561086713395
2023-01-04,101085.0,0.026366635442372915,0.0,0.0,0.14421881082485838,0.2424650267889424,0.17334430612656912,0.16888982498879665,0.1594638988286005,0.08525149699985998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106008.66658034832,4923.666580348319
2023-01-05,101085.0,0.026353014296983158,0.0,0.0,0.1399584860017761,0.24152163056570689,0.18156931491497952,0.1668809011215883,0.15860929754511235,0.08510735555385375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105755.98862609357,4670.988626093575
2023-01-06,101085.0,0.02596515238265886,0.0,0.0,0.14129793681162128,0.2437408289136366,0.1798905472298557,0.16594321372271525,0.15864199682177282,0.08452032411773945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107662.21613416397,6577.216134163973
2023-01-07,101085.0,0.02605236985393864,0.0,0.0,0.1417725594352108,0.24455955928086842,0.1804948032113073,0.16650062032921764,0.1585342758493516,0.0820858120401056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107301.78726353748,6216.787263537481
2023-01-08,101085.0,0.025779302991644274,0.0,0.0,0.1402865760800896,0.2419962181387257,0.17860295422214903,0.16475545080267295,0.15973753752699674,0.08884196023772169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108438.37976086485,7353.379760864846
2023-01-09,101085.0,0.025166151339595894,0.0,0.0,0.14507775094759368,0.23524109274535737,0.1735554814048667,0.16214500977937424,0.16007840247218058,0.09873611131103152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110112.00280520016,9027.002805200158
2023-01-10,101085.0,0.025101053476999997,0.0,0.0,0.14359096112553757,0.24101173269697637,0.17051501699511404,0.16045701295004453,0.1614822712534456,0.09784195150188191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110116.9847682494,9031.9847682494
2023-01-11,101085.0,0.024583858195258986,0.0,0.0,0.14580325647399678,0.23586829822944416,0.165102478819168,0.16762286675406668,0.164230734577093,0.09678850695097241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112539.26756981829,11454.267569818287
2023-01-12,101085.0,0.024096189424764883,0.0,0.0,0.14330529341384385,0.23783507622014396,0.162592823598592,0.1713435374038014,0.16445297300221184,0.09637410693664203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114685.82443456048,13600.824434560476
2023-01-13,101085.0,0.02357425013016362,0.0,0.0,0.13888498091092538,0.23314293939500788,0.16509611495607,0.17083193310918315,0.16471201040986558,0.1037577710887844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116549.91259836344,15464.912598363444
2023-01-14,101085.0,0.02255773024941174,0.0,0.0,0.13289627104934806,0.22308983350008404,0.15797718297897134,0.1634656730875943,0.1683685973458657,0.13164471178872467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121802.00586954795,20717.005869547953
