Date,Asset_Class,Position_SGD
2022-05-11,Cash,0.0
2022-05-11,Cyclical commodities equities,0.0
2022-05-11,Growth equities,0.0
2022-05-11,IG fixed income - long,0.0
2022-05-11,Managed futures,0.0
2022-05-11,REITs,0.0
2022-05-11,Value equities,66777.1224975586
2022-05-12,Cash,0.0
2022-05-12,Cyclical commodities equities,0.0
2022-05-12,Growth equities,0.0
2022-05-12,IG fixed income - long,0.0
2022-05-12,Managed futures,0.0
2022-05-12,REITs,0.0
2022-05-12,Value equities,65803.0592910627
2022-05-13,Cash,0.0
2022-05-13,Cyclical commodities equities,0.0
2022-05-13,Growth equities,0.0
2022-05-13,IG fixed income - long,0.0
2022-05-13,Managed futures,0.0
2022-05-13,REITs,0.0
2022-05-13,Value equities,67113.55387298726
2022-05-14,Cash,0.0
2022-05-14,Cyclical commodities equities,0.0
2022-05-14,Growth equities,0.0
2022-05-14,IG fixed income - long,0.0
2022-05-14,Managed futures,0.0
2022-05-14,REITs,0.0
2022-05-14,Value equities,67113.55387298726
2022-05-15,Cash,0.0
2022-05-15,Cyclical commodities equities,0.0
2022-05-15,Growth equities,0.0
2022-05-15,IG fixed income - long,0.0
2022-05-15,Managed futures,0.0
2022-05-15,REITs,0.0
2022-05-15,Value equities,67113.55387298726
2022-05-16,Cash,0.0
2022-05-16,Cyclical commodities equities,0.0
2022-05-16,Growth equities,0.0
2022-05-16,IG fixed income - long,0.0
2022-05-16,Managed futures,0.0
2022-05-16,REITs,0.0
2022-05-16,Value equities,67400.77749692774
2022-05-17,Cash,0.0
2022-05-17,Cyclical commodities equities,0.0
2022-05-17,Growth equities,0.0
2022-05-17,IG fixed income - long,0.0
2022-05-17,Managed futures,0.0
2022-05-17,REITs,0.0
2022-05-17,Value equities,68405.02231856226
2022-05-18,Cash,0.0
2022-05-18,Cyclical commodities equities,0.0
2022-05-18,Growth equities,0.0
2022-05-18,IG fixed income - long,0.0
2022-05-18,Managed futures,0.0
2022-05-18,REITs,0.0
2022-05-18,Value equities,67409.8417152054
2022-05-19,Cash,0.0
2022-05-19,Cyclical commodities equities,0.0
2022-05-19,Growth equities,0.0
2022-05-19,IG fixed income - long,0.0
2022-05-19,Managed futures,0.0
2022-05-19,REITs,0.0
2022-05-19,Value equities,68338.15738745443
2022-05-20,Cash,0.0
2022-05-20,Cyclical commodities equities,0.0
2022-05-20,Growth equities,0.0
2022-05-20,IG fixed income - long,0.0
2022-05-20,Managed futures,0.0
2022-05-20,REITs,0.0
2022-05-20,Value equities,68034.48121648216
2022-05-21,Cash,0.0
2022-05-21,Cyclical commodities equities,0.0
2022-05-21,Growth equities,0.0
2022-05-21,IG fixed income - long,0.0
2022-05-21,Managed futures,0.0
2022-05-21,REITs,0.0
2022-05-21,Value equities,68034.48121648216
2022-05-22,Cash,0.0
2022-05-22,Cyclical commodities equities,0.0
2022-05-22,Growth equities,0.0
2022-05-22,IG fixed income - long,0.0
2022-05-22,Managed futures,0.0
2022-05-22,REITs,0.0
2022-05-22,Value equities,68034.48121648216
2022-05-23,Cash,0.0
2022-05-23,Cyclical commodities equities,0.0
2022-05-23,Growth equities,0.0
2022-05-23,IG fixed income - long,0.0
2022-05-23,Managed futures,0.0
2022-05-23,REITs,0.0
2022-05-23,Value equities,69376.04849685432
2022-05-24,Cash,0.0
2022-05-24,Cyclical commodities equities,0.0
2022-05-24,Growth equities,0.0
2022-05-24,IG fixed income - long,0.0
2022-05-24,Managed futures,0.0
2022-05-24,REITs,0.0
2022-05-24,Value equities,67923.29445993801
2022-05-25,Cash,0.0
2022-05-25,Cyclical commodities equities,0.0
2022-05-25,Growth equities,0.0
2022-05-25,IG fixed income - long,0.0
2022-05-25,Managed futures,0.0
2022-05-25,REITs,0.0
2022-05-25,Value equities,68212.60911975514
2022-05-26,Cash,0.0
2022-05-26,Cyclical commodities equities,0.0
2022-05-26,Growth equities,0.0
2022-05-26,IG fixed income - long,0.0
2022-05-26,Managed futures,0.0
2022-05-26,REITs,0.0
